date,store_ref,product_ref,quantity_sold
2024-05-18,S5,P3,36
2024-05-18,S5,P4,53
2024-05-18,S5,P5,14
2024-05-18,S5,P6,39
2024-05-18,S5,P7,20
2024-05-18,S5,P8,41
2024-05-18,S5,P9,101
2024-05-18,S5,P10,52
2024-05-19,S1,P1,109
2024-05-19,S1,P2,11
2024-05-19,S1,P3,44
2024-05-19,S1,P4,35
2024-05-19,S1,P5,94
2024-05-19,S1,P6,94
2024-05-19,S1,P7,117
2024-05-19,S1,P8,20
2024-05-19,S1,P9,48
2024-05-19,S1,P10,15
2024-05-19,S2,P1,35
2024-05-19,S2,P2,84
2024-05-19,S2,P3,11
2024-05-19,S2,P4,34
2024-05-19,S2,P5,118
2024-05-19,S2,P6,70
2024-05-19,S2,P7,31
2024-05-19,S2,P8,78
2024-05-19,S2,P9,115
2024-05-19,S2,P10,10
2024-05-19,S3,P1,124
2024-05-19,S3,P2,94
2024-05-19,S3,P3,43
2024-05-19,S3,P4,27
2024-05-19,S3,P5,145
2024-05-19,S3,P6,53
2024-05-19,S3,P7,16
2024-05-19,S3,P8,20
2024-05-19,S3,P9,131
2024-05-19,S3,P10,102
2024-05-19,S4,P1,116
2024-05-19,S4,P2,103
2024-05-19,S4,P3,66
2024-05-19,S4,P4,120
2024-05-19,S4,P5,56
2024-05-19,S4,P6,82
2024-05-19,S4,P7,119
2024-05-19,S4,P8,82
2024-05-19,S4,P9,103
2024-05-19,S4,P10,75
2024-05-19,S5,P1,86
2024-05-19,S5,P2,15
2024-05-19,S5,P3,28
2024-05-19,S5,P4,43
2024-05-19,S5,P5,19
2024-05-19,S5,P6,43
2024-05-19,S5,P7,21
2024-05-19,S5,P8,48
2024-05-19,S5,P9,85
2024-05-19,S5,P10,50
2024-05-20,S1,P1,50
2024-05-20,S1,P2,8
2024-05-20,S1,P3,29
2024-05-20,S1,P4,23
2024-05-20,S1,P5,82
2024-05-20,S1,P6,57
2024-05-20,S1,P7,78
2024-05-20,S1,P8,12
2024-05-20,S1,P9,36
2024-05-20,S1,P10,9
2024-05-20,S2,P1,25
2024-05-20,S2,P2,38
2024-05-20,S2,P3,7
2024-05-20,S2,P4,21
2024-05-20,S2,P5,59
2024-05-20,S2,P6,40
2024-05-20,S2,P7,17
2024-05-20,S2,P8,41
2024-05-20,S2,P9,66
2024-05-20,S2,P10,6
2024-05-20,S3,P1,69
2024-05-20,S3,P2,54
2024-05-20,S3,P3,27
2024-05-20,S3,P4,14
2024-05-20,S3,P5,81
2024-05-20,S3,P6,32
2024-05-20,S3,P7,13
2024-05-20,S3,P8,13
2024-05-20,S3,P9,68
2024-05-20,S3,P10,58
2024-05-20,S4,P1,66
2024-05-20,S4,P2,57
2024-05-20,S4,P3,44
2024-05-20,S4,P4,75
2024-05-20,S4,P5,27
2024-05-20,S4,P6,48
2024-05-20,S4,P7,70
2024-05-20,S4,P8,50
2024-05-20,S4,P9,66
2024-05-20,S4,P10,51
2024-05-20,S5,P1,69
2024-05-20,S5,P2,9
2024-05-20,S5,P3,21
2024-05-20,S5,P4,26
2024-05-20,S5,P5,11
2024-05-20,S5,P6,20
2024-05-20,S5,P7,13
2024-05-20,S5,P8,26
2024-05-20,S5,P9,63
2024-05-20,S5,P10,36
2024-05-21,S1,P1,57
2024-05-21,S1,P2,6
2024-05-21,S1,P3,27
2024-05-21,S1,P4,19
2024-05-21,S1,P5,61
2024-05-21,S1,P6,57
2024-05-21,S1,P7,65
2024-05-21,S1,P8,14
2024-05-21,S1,P9,38
2024-05-21,S1,P10,6
2024-05-21,S2,P1,22
2024-05-21,S2,P2,40
2024-05-21,S2,P3,7
2024-05-21,S2,P4,21
2024-05-21,S2,P5,55
2024-05-21,S2,P6,36
2024-05-21,S2,P7,19
2024-05-21,S2,P8,52
2024-05-21,S2,P9,73
2024-05-21,S2,P10,6
2024-05-21,S3,P1,76
2024-05-21,S3,P2,45
2024-05-21,S3,P3,32
2024-05-21,S3,P4,13
2024-05-21,S3,P5,88
2024-05-21,S3,P6,31
2024-05-21,S3,P7,10
2024-05-21,S3,P8,14
2024-05-21,S3,P9,72
2024-05-21,S3,P10,40
2024-05-21,S4,P1,66
2024-05-21,S4,P2,54
2024-05-21,S4,P3,45
2024-05-21,S4,P4,73
2024-05-21,S4,P5,37
2024-05-21,S4,P6,39
2024-05-21,S4,P7,68
2024-05-21,S4,P8,60
2024-05-21,S4,P9,63
2024-05-21,S4,P10,49
2024-05-21,S5,P1,58
2024-05-21,S5,P2,8
2024-05-21,S5,P3,23
2024-05-21,S5,P4,27
2024-05-21,S5,P5,10
2024-05-21,S5,P6,26
2024-05-21,S5,P7,13
2024-05-21,S5,P8,25
2024-05-21,S5,P9,49
2024-05-21,S5,P10,29
2024-05-22,S1,P1,62
2024-05-22,S1,P2,7
2024-05-22,S1,P3,28
2024-05-22,S1,P4,22
2024-05-22,S1,P5,67
2024-05-22,S1,P6,57
2024-05-22,S1,P7,81
2024-05-22,S1,P8,12
2024-05-22,S1,P9,41
2024-05-22,S1,P10,8
2024-05-22,S2,P1,22
2024-05-22,S2,P2,41
2024-05-22,S2,P3,7
2024-05-22,S2,P4,19
2024-05-22,S2,P5,51
2024-05-22,S2,P6,52
2024-05-22,S2,P7,22
2024-05-22,S2,P8,59
2024-05-22,S2,P9,84
2024-05-22,S2,P10,6
2024-05-22,S3,P1,58
2024-05-22,S3,P2,58
2024-05-22,S3,P3,32
2024-05-22,S3,P4,15
2024-05-22,S3,P5,78
2024-05-22,S3,P6,32
2024-05-22,S3,P7,12
2024-05-22,S3,P8,12
2024-05-22,S3,P9,66
2024-05-22,S3,P10,62
2024-05-22,S4,P1,67
2024-05-22,S4,P2,57
2024-05-22,S4,P3,45
2024-05-22,S4,P4,89
2024-05-22,S4,P5,32
2024-05-22,S4,P6,51
2024-05-22,S4,P7,75
2024-05-22,S4,P8,58
2024-05-22,S4,P9,83
2024-05-22,S4,P10,48
2024-05-22,S5,P1,67
2024-05-22,S5,P2,8
2024-05-22,S5,P3,22
2024-05-22,S5,P4,31
2024-05-22,S5,P5,12
2024-05-22,S5,P6,23
2024-05-22,S5,P7,12
2024-05-22,S5,P8,28
2024-05-22,S5,P9,51
2024-05-22,S5,P10,31
2024-05-23,S1,P1,55
2024-05-23,S1,P2,8
2024-05-23,S1,P3,22
2024-05-23,S1,P4,25
2024-05-23,S1,P5,68
2024-05-23,S1,P6,58
2024-05-23,S1,P7,88
2024-05-23,S1,P8,13
2024-05-23,S1,P9,38
2024-05-23,S1,P10,7
2024-05-23,S2,P1,25
2024-05-23,S2,P2,40
2024-05-23,S2,P3,7
2024-05-23,S2,P4,21
2024-05-23,S2,P5,60
2024-05-23,S2,P6,52
2024-05-23,S2,P7,24
2024-05-23,S2,P8,60
2024-05-23,S2,P9,74
2024-05-23,S2,P10,6
2024-05-23,S3,P1,63
2024-05-23,S3,P2,68
2024-05-23,S3,P3,35
2024-05-23,S3,P4,21
2024-05-23,S3,P5,78
2024-05-23,S3,P6,33
2024-05-23,S3,P7,13
2024-05-23,S3,P8,13
2024-05-23,S3,P9,76
2024-05-23,S3,P10,46
2024-05-23,S4,P1,78
2024-05-23,S4,P2,70
2024-05-23,S4,P3,55
2024-05-23,S4,P4,105
2024-05-23,S4,P5,36
2024-05-23,S4,P6,51
2024-05-23,S4,P7,74
2024-05-23,S4,P8,68
2024-05-23,S4,P9,63
2024-05-23,S4,P10,56
2024-05-23,S5,P1,54
2024-05-23,S5,P2,7
2024-05-23,S5,P3,19
2024-05-23,S5,P4,25
2024-05-23,S5,P5,13
2024-05-23,S5,P6,23
2024-05-23,S5,P7,14
2024-05-23,S5,P8,25
2024-05-23,S5,P9,62
2024-05-23,S5,P10,32
2024-05-24,S1,P1,80
2024-05-24,S1,P2,8
2024-05-24,S1,P3,32
2024-05-24,S1,P4,29
2024-05-24,S1,P5,81
2024-05-24,S1,P6,85
2024-05-24,S1,P7,97
2024-05-24,S1,P8,14
2024-05-24,S1,P9,46
2024-05-24,S1,P10,9
2024-05-24,S2,P1,31
2024-05-24,S2,P2,60
2024-05-24,S2,P3,9
2024-05-24,S2,P4,29
2024-05-24,S2,P5,68
2024-05-24,S2,P6,60
2024-05-24,S2,P7,29
2024-05-24,S2,P8,76
2024-05-24,S2,P9,87
2024-05-24,S2,P10,7
2024-05-24,S3,P1,78
2024-05-24,S3,P2,82
2024-05-24,S3,P3,38
2024-05-24,S3,P4,23
2024-05-24,S3,P5,83
2024-05-24,S3,P6,45
2024-05-24,S3,P7,14
2024-05-24,S3,P8,15
2024-05-24,S3,P9,101
2024-05-24,S3,P10,58
2024-05-24,S4,P1,87
2024-05-24,S4,P2,80
2024-05-24,S4,P3,54
2024-05-24,S4,P4,118
2024-05-24,S4,P5,51
2024-05-24,S4,P6,50
2024-05-24,S4,P7,77
2024-05-24,S4,P8,74
2024-05-24,S4,P9,81
2024-05-24,S4,P10,62
2024-05-24,S5,P1,78
2024-05-24,S5,P2,12
2024-05-24,S5,P3,29
2024-05-24,S5,P4,36
2024-05-24,S5,P5,14
2024-05-24,S5,P6,34
2024-05-24,S5,P7,16
2024-05-24,S5,P8,36
2024-05-24,S5,P9,67
2024-05-24,S5,P10,44
2024-05-25,S1,P1,85
2024-05-25,S1,P2,11
2024-05-25,S1,P3,38
2024-05-25,S1,P4,38
2024-05-25,S1,P5,112
2024-05-25,S1,P6,93
2024-05-25,S1,P7,126
2024-05-25,S1,P8,20
2024-05-25,S1,P9,65
2024-05-25,S1,P10,12
2024-05-25,S2,P1,36
2024-05-25,S2,P2,76
2024-05-25,S2,P3,11
2024-05-25,S2,P4,29
2024-05-25,S2,P5,88
2024-05-25,S2,P6,61
2024-05-25,S2,P7,35
2024-05-25,S2,P8,83
2024-05-25,S2,P9,120
2024-05-25,S2,P10,9
2024-05-25,S3,P1,116
2024-05-25,S3,P2,93
2024-05-25,S3,P3,45
2024-05-25,S3,P4,23
2024-05-25,S3,P5,113
2024-05-25,S3,P6,43
2024-05-25,S3,P7,21
2024-05-25,S3,P8,20
2024-05-25,S3,P9,118
2024-05-25,S3,P10,82
2024-05-25,S4,P1,118
2024-05-25,S4,P2,108
2024-05-25,S4,P3,69
2024-05-25,S4,P4,124
2024-05-25,S4,P5,51
2024-05-25,S4,P6,63
2024-05-25,S4,P7,117
2024-05-25,S4,P8,94
2024-05-25,S4,P9,113
2024-05-25,S4,P10,75
2024-05-25,S5,P1,104
2024-05-25,S5,P2,11
2024-05-25,S5,P3,37
2024-05-25,S5,P4,44
2024-05-25,S5,P5,17
2024-05-25,S5,P6,42
2024-05-25,S5,P7,22
2024-05-25,S5,P8,41
2024-05-25,S5,P9,85
2024-05-25,S5,P10,51
2024-05-26,S1,P1,85
2024-05-26,S1,P2,10
2024-05-26,S1,P3,49
2024-05-26,S1,P4,40
2024-05-26,S1,P5,110
2024-05-26,S1,P6,84
2024-05-26,S1,P7,147
2024-05-26,S1,P8,23
2024-05-26,S1,P9,63
2024-05-26,S1,P10,11
2024-05-26,S2,P1,33
2024-05-26,S2,P2,75
2024-05-26,S2,P3,11
2024-05-26,S2,P4,34
2024-05-26,S2,P5,101
2024-05-26,S2,P6,66
2024-05-26,S2,P7,44
2024-05-26,S2,P8,96
2024-05-26,S2,P9,97
2024-05-26,S2,P10,8
2024-05-26,S3,P1,107
2024-05-26,S3,P2,87
2024-05-26,S3,P3,50
2024-05-26,S3,P4,21
2024-05-26,S3,P5,127
2024-05-26,S3,P6,60
2024-05-26,S3,P7,18
2024-05-26,S3,P8,20
2024-05-26,S3,P9,99
2024-05-26,S3,P10,90
2024-05-26,S4,P1,108
2024-05-26,S4,P2,120
2024-05-26,S4,P3,78
2024-05-26,S4,P4,127
2024-05-26,S4,P5,59
2024-05-26,S4,P6,74
2024-05-26,S4,P7,98
2024-05-26,S4,P8,89
2024-05-26,S4,P9,116
2024-05-26,S4,P10,83
2024-05-26,S5,P1,101
2024-05-26,S5,P2,14
2024-05-26,S5,P3,39
2024-05-26,S5,P4,53
2024-05-26,S5,P5,16
2024-05-26,S5,P6,45
2024-05-26,S5,P7,21
2024-05-26,S5,P8,40
2024-05-26,S5,P9,111
2024-05-26,S5,P10,55
2024-05-27,S1,P1,62
2024-05-27,S1,P2,8
2024-05-27,S1,P3,22
2024-05-27,S1,P4,23
2024-05-27,S1,P5,59
2024-05-27,S1,P6,50
2024-05-27,S1,P7,61
2024-05-27,S1,P8,12
2024-05-27,S1,P9,40
2024-05-27,S1,P10,8
2024-05-27,S2,P1,21
2024-05-27,S2,P2,40
2024-05-27,S2,P3,6
2024-05-27,S2,P4,19
2024-05-27,S2,P5,49
2024-05-27,S2,P6,46
2024-05-27,S2,P7,22
2024-05-27,S2,P8,46
2024-05-27,S2,P9,66
2024-05-27,S2,P10,5
2024-05-27,S3,P1,67
2024-05-27,S3,P2,62
2024-05-27,S3,P3,32
2024-05-27,S3,P4,18
2024-05-27,S3,P5,66
2024-05-27,S3,P6,30
2024-05-27,S3,P7,13
2024-05-27,S3,P8,13
2024-05-27,S3,P9,59
2024-05-27,S3,P10,52
2024-05-27,S4,P1,75
2024-05-27,S4,P2,60
2024-05-27,S4,P3,46
2024-05-27,S4,P4,84
2024-05-27,S4,P5,35
2024-05-27,S4,P6,51
2024-05-27,S4,P7,69
2024-05-27,S4,P8,54
2024-05-27,S4,P9,66
2024-05-27,S4,P10,49
2024-05-27,S5,P1,67
2024-05-27,S5,P2,8
2024-05-27,S5,P3,22
2024-05-27,S5,P4,26
2024-05-27,S5,P5,12
2024-05-27,S5,P6,21
2024-05-27,S5,P7,14
2024-05-27,S5,P8,24
2024-05-27,S5,P9,48
2024-05-27,S5,P10,34
2024-05-28,S1,P1,85
2024-05-28,S1,P2,11
2024-05-28,S1,P3,45
2024-05-28,S1,P4,33
2024-05-28,S1,P5,100
2024-05-28,S1,P6,80
2024-05-28,S1,P7,129
2024-05-28,S1,P8,19
2024-05-28,S1,P9,61
2024-05-28,S1,P10,12
2024-05-28,S2,P1,31
2024-05-28,S2,P2,66
2024-05-28,S2,P3,12
2024-05-28,S2,P4,32
2024-05-28,S2,P5,86
2024-05-28,S2,P6,63
2024-05-28,S2,P7,35
2024-05-28,S2,P8,73
2024-05-28,S2,P9,93
2024-05-28,S2,P10,9
2024-05-28,S3,P1,85
2024-05-28,S3,P2,97
2024-05-28,S3,P3,53
2024-05-28,S3,P4,26
2024-05-28,S3,P5,110
2024-05-28,S3,P6,43
2024-05-28,S3,P7,19
2024-05-28,S3,P8,15
2024-05-28,S3,P9,111
2024-05-28,S3,P10,85
2024-05-28,S4,P1,101
2024-05-28,S4,P2,90
2024-05-28,S4,P3,73
2024-05-28,S4,P4,128
2024-05-28,S4,P5,59
2024-05-28,S4,P6,74
2024-05-28,S4,P7,99
2024-05-28,S4,P8,78
2024-05-28,S4,P9,113
2024-05-28,S4,P10,89
2024-05-28,S5,P1,89
2024-05-28,S5,P2,12
2024-05-28,S5,P3,32
2024-05-28,S5,P4,33
2024-05-28,S5,P5,18
2024-05-28,S5,P6,31
2024-05-28,S5,P7,17
2024-05-28,S5,P8,33
2024-05-28,S5,P9,74
2024-05-28,S5,P10,54
2024-05-29,S1,P1,48
2024-05-29,S1,P2,6
2024-05-29,S1,P3,27
2024-05-29,S1,P4,22
2024-05-29,S1,P5,66
2024-05-29,S1,P6,63
2024-05-29,S1,P7,76
2024-05-29,S1,P8,11
2024-05-29,S1,P9,38
2024-05-29,S1,P10,8
2024-05-29,S2,P1,21
2024-05-29,S2,P2,39
2024-05-29,S2,P3,8
2024-05-29,S2,P4,20
2024-05-29,S2,P5,54
2024-05-29,S2,P6,48
2024-05-29,S2,P7,25
2024-05-29,S2,P8,53
2024-05-29,S2,P9,67
2024-05-29,S2,P10,6
2024-05-29,S3,P1,84
2024-05-29,S3,P2,69
2024-05-29,S3,P3,34
2024-05-29,S3,P4,16
2024-05-29,S3,P5,111
2024-05-29,S3,P6,28
2024-05-29,S3,P7,12
2024-05-29,S3,P8,12
2024-05-29,S3,P9,84
2024-05-29,S3,P10,55
2024-05-29,S4,P1,59
2024-05-29,S4,P2,64
2024-05-29,S4,P3,50
2024-05-29,S4,P4,79
2024-05-29,S4,P5,31
2024-05-29,S4,P6,45
2024-05-29,S4,P7,68
2024-05-29,S4,P8,54
2024-05-29,S4,P9,69
2024-05-29,S4,P10,55
2024-05-29,S5,P1,55
2024-05-29,S5,P2,7
2024-05-29,S5,P3,22
2024-05-29,S5,P4,32
2024-05-29,S5,P5,11
2024-05-29,S5,P6,29
2024-05-29,S5,P7,14
2024-05-29,S5,P8,24
2024-05-29,S5,P9,51
2024-05-29,S5,P10,35
2024-05-30,S1,P1,52
2024-05-30,S1,P2,9
2024-05-30,S1,P3,26
2024-05-30,S1,P4,26
2024-05-30,S1,P5,77
2024-05-30,S1,P6,61
2024-05-30,S1,P7,72
2024-05-30,S1,P8,12
2024-05-30,S1,P9,42
2024-05-30,S1,P10,9
2024-05-30,S2,P1,24
2024-05-30,S2,P2,41
2024-05-30,S2,P3,8
2024-05-30,S2,P4,21
2024-05-30,S2,P5,47
2024-05-30,S2,P6,47
2024-05-30,S2,P7,20
2024-05-30,S2,P8,58
2024-05-30,S2,P9,87
2024-05-30,S2,P10,7
2024-05-30,S3,P1,69
2024-05-30,S3,P2,61
2024-05-30,S3,P3,36
2024-05-30,S3,P4,20
2024-05-30,S3,P5,82
2024-05-30,S3,P6,33
2024-05-30,S3,P7,16
2024-05-30,S3,P8,13
2024-05-30,S3,P9,72
2024-05-30,S3,P10,57
2024-05-30,S4,P1,77
2024-05-30,S4,P2,60
2024-05-30,S4,P3,49
2024-05-30,S4,P4,77
2024-05-30,S4,P5,36
2024-05-30,S4,P6,61
2024-05-30,S4,P7,80
2024-05-30,S4,P8,57
2024-05-30,S4,P9,70
2024-05-30,S4,P10,52
2024-05-30,S5,P1,71
2024-05-30,S5,P2,9
2024-05-30,S5,P3,28
2024-05-30,S5,P4,26
2024-05-30,S5,P5,12
2024-05-30,S5,P6,29
2024-05-30,S5,P7,11
2024-05-30,S5,P8,32
2024-05-30,S5,P9,48
2024-05-30,S5,P10,36
2024-05-31,S1,P1,70
2024-05-31,S1,P2,10
2024-05-31,S1,P3,24
2024-05-31,S1,P4,24
2024-05-31,S1,P5,76
2024-05-31,S1,P6,75
2024-05-31,S1,P7,88
2024-05-31,S1,P8,15
2024-05-31,S1,P9,43
2024-05-31,S1,P10,9
2024-05-31,S2,P1,26
2024-05-31,S2,P2,59
2024-05-31,S2,P3,10
2024-05-31,S2,P4,31
2024-05-31,S2,P5,68
2024-05-31,S2,P6,60
2024-05-31,S2,P7,29
2024-05-31,S2,P8,64
2024-05-31,S2,P9,88
2024-05-31,S2,P10,6
2024-05-31,S3,P1,91
2024-05-31,S3,P2,70
2024-05-31,S3,P3,37
2024-05-31,S3,P4,19
2024-05-31,S3,P5,115
2024-05-31,S3,P6,40
2024-05-31,S3,P7,18
2024-05-31,S3,P8,17
2024-05-31,S3,P9,77
2024-05-31,S3,P10,60
2024-05-31,S4,P1,95
2024-05-31,S4,P2,74
2024-05-31,S4,P3,54
2024-05-31,S4,P4,103
2024-05-31,S4,P5,44
2024-05-31,S4,P6,56
2024-05-31,S4,P7,87
2024-05-31,S4,P8,66
2024-05-31,S4,P9,69
2024-05-31,S4,P10,68
2024-05-31,S5,P1,72
2024-05-31,S5,P2,13
2024-05-31,S5,P3,26
2024-05-31,S5,P4,30
2024-05-31,S5,P5,17
2024-05-31,S5,P6,25
2024-05-31,S5,P7,16
2024-05-31,S5,P8,37
2024-05-31,S5,P9,69
2024-05-31,S5,P10,36
2024-06-01,S1,P1,88
2024-06-01,S1,P2,11
2024-06-01,S1,P3,47
2024-06-01,S1,P4,38
2024-06-01,S1,P5,129
2024-06-01,S1,P6,76
2024-06-01,S1,P7,118
2024-06-01,S1,P8,17
2024-06-01,S1,P9,67
2024-06-01,S1,P10,13
2024-06-01,S2,P1,38
2024-06-01,S2,P2,65
2024-06-01,S2,P3,11
2024-06-01,S2,P4,26
2024-06-01,S2,P5,103
2024-06-01,S2,P6,79
2024-06-01,S2,P7,34
2024-06-01,S2,P8,88
2024-06-01,S2,P9,116
2024-06-01,S2,P10,10
2024-06-01,S3,P1,90
2024-06-01,S3,P2,87
2024-06-01,S3,P3,51
2024-06-01,S3,P4,28
2024-06-01,S3,P5,138
2024-06-01,S3,P6,45
2024-06-01,S3,P7,20
2024-06-01,S3,P8,25
2024-06-01,S3,P9,120
2024-06-01,S3,P10,90
2024-06-01,S4,P1,107
2024-06-01,S4,P2,105
2024-06-01,S4,P3,88
2024-06-01,S4,P4,129
2024-06-01,S4,P5,61
2024-06-01,S4,P6,69
2024-06-01,S4,P7,117
2024-06-01,S4,P8,92
2024-06-01,S4,P9,106
2024-06-01,S4,P10,88
2024-06-01,S5,P1,88
2024-06-01,S5,P2,13
2024-06-01,S5,P3,36
2024-06-01,S5,P4,52
2024-06-01,S5,P5,19
2024-06-01,S5,P6,40
2024-06-01,S5,P7,19
2024-06-01,S5,P8,43
2024-06-01,S5,P9,76
2024-06-01,S5,P10,50
2024-06-02,S1,P1,98
2024-06-02,S1,P2,12
2024-06-02,S1,P3,50
2024-06-02,S1,P4,36
2024-06-02,S1,P5,100
2024-06-02,S1,P6,107
2024-06-02,S1,P7,114
2024-06-02,S1,P8,17
2024-06-02,S1,P9,70
2024-06-02,S1,P10,13
2024-06-02,S2,P1,28
2024-06-02,S2,P2,73
2024-06-02,S2,P3,11
2024-06-02,S2,P4,40
2024-06-02,S2,P5,85
2024-06-02,S2,P6,73
2024-06-02,S2,P7,33
2024-06-02,S2,P8,75
2024-06-02,S2,P9,104
2024-06-02,S2,P10,8
2024-06-02,S3,P1,100
2024-06-02,S3,P2,82
2024-06-02,S3,P3,44
2024-06-02,S3,P4,24
2024-06-02,S3,P5,124
2024-06-02,S3,P6,48
2024-06-02,S3,P7,18
2024-06-02,S3,P8,22
2024-06-02,S3,P9,116
2024-06-02,S3,P10,82
2024-06-02,S4,P1,106
2024-06-02,S4,P2,118
2024-06-02,S4,P3,79
2024-06-02,S4,P4,139
2024-06-02,S4,P5,42
2024-06-02,S4,P6,74
2024-06-02,S4,P7,89
2024-06-02,S4,P8,84
2024-06-02,S4,P9,123
2024-06-02,S4,P10,77
2024-06-02,S5,P1,103
2024-06-02,S5,P2,13
2024-06-02,S5,P3,40
2024-06-02,S5,P4,38
2024-06-02,S5,P5,18
2024-06-02,S5,P6,40
2024-06-02,S5,P7,23
2024-06-02,S5,P8,43
2024-06-02,S5,P9,107
2024-06-02,S5,P10,53
2024-06-03,S1,P1,52
2024-06-03,S1,P2,5
2024-06-03,S1,P3,31
2024-06-03,S1,P4,22
2024-06-03,S1,P5,55
2024-06-03,S1,P6,65
2024-06-03,S1,P7,83
2024-06-03,S1,P8,12
2024-06-03,S1,P9,32
2024-06-03,S1,P10,8
2024-06-03,S2,P1,21
2024-06-03,S2,P2,39
2024-06-03,S2,P3,8
2024-06-03,S2,P4,16
2024-06-03,S2,P5,59
2024-06-03,S2,P6,50
2024-06-03,S2,P7,27
2024-06-03,S2,P8,52
2024-06-03,S2,P9,54
2024-06-03,S2,P10,5
2024-06-03,S3,P1,68
2024-06-03,S3,P2,61
2024-06-03,S3,P3,35
2024-06-03,S3,P4,14
2024-06-03,S3,P5,77
2024-06-03,S3,P6,34
2024-06-03,S3,P7,14
2024-06-03,S3,P8,15
2024-06-03,S3,P9,68
2024-06-03,S3,P10,58
